image_id,Child,Smile,Emotions,Female,Male,PeopleNumber
10157582426046984.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
10157593146051984.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
10157595551641984.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
10157605664951984.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10157610915806984.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10157612969296984.jpg,FALSE,TRUE,[],FALSE,TRUE,2
10157613406531984.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
10157616454131524.png,FALSE,FALSE,[],FALSE,FALSE,0
10157633576581984.jpg,TRUE,TRUE,"['HAPPY', 'ANGRY', 'CALM']",TRUE,TRUE,2
10157635770606984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157638593211984.jpg,FALSE,TRUE,[],FALSE,TRUE,1
10157646639246984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157649025026984.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10157657968891984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157664958086984.jpg,TRUE,TRUE,['SAD'],TRUE,FALSE,1
10157665038656984.jpg,FALSE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10157666614646984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10157667263231984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10157669479936984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10157671129736984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157681361626984.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10157700281941984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10157702454521984.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10157714164786984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10157718684346984.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10157720588956984.jpg,FALSE,TRUE,[],FALSE,TRUE,2
10157746937801984.jpg,FALSE,TRUE,"['HAPPY', 'CONFUSED']",TRUE,TRUE,2
10157765582211984.jpg,FALSE,TRUE,['CALM'],TRUE,TRUE,2
10157767731876984.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10157772148031984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10157777370871984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10157779811841984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157786505891984.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10157788450911984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10157791395846984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10157794368366984.png,FALSE,FALSE,[],FALSE,FALSE,0
10157796244771984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10157804426201984.jpg,TRUE,TRUE,"['FEAR', 'CALM', 'SAD']",TRUE,TRUE,2
10157811748081984.png,FALSE,FALSE,[],FALSE,FALSE,0
10157816804506984.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10157829890511984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10157831694206984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157846619001984.png,FALSE,FALSE,[],FALSE,FALSE,0
10157847272166984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157851133196984.png,FALSE,FALSE,[],FALSE,FALSE,0
10157869945026984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10157879633986984.jpg,FALSE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10157880831126984.jpg,TRUE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10157881555536984.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10157883265941984.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,1
10157886246051984.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10157886450211984.jpg,FALSE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10157891483426984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10157893080036984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10157893664081984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,2
10157895822866984.jpg,TRUE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10157908591771984.jpg,FALSE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10157912528291984.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,1
10157926606171984.jpg,FALSE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10157928814311984.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10157930810451984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10157933400721984.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,2
10157940282396984.jpg,TRUE,TRUE,['HAPPY'],TRUE,TRUE,2
10157942570186984.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10157946672601984.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,2
10157955334831984.jpg,FALSE,TRUE,['CALM'],TRUE,TRUE,2
10157956745381984.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
10157973789126984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10157987975881984.jpg,FALSE,TRUE,"['CALM', 'SURPRISED']",FALSE,TRUE,2
10157992415236984.jpg,TRUE,TRUE,"['HAPPY', 'CALM', 'SURPRISED', 'SAD']",TRUE,TRUE,2
10158004669506984.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10158008815831984.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10158018738516984.jpg,TRUE,TRUE,['HAPPY'],TRUE,TRUE,2
10158029078241984.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10158036931946984.jpg,FALSE,TRUE,"['HAPPY', 'SAD']",TRUE,FALSE,2
10158045641571984.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10158062380341984.jpg,TRUE,TRUE,['HAPPY'],TRUE,TRUE,2
10158074722286984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10158078816921984.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10158080688696984.jpg,TRUE,TRUE,"['ANGRY', 'CALM', 'SAD']",TRUE,TRUE,2
10158090159661984.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10158091681831984.jpg,TRUE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10158094543336984.jpg,TRUE,TRUE,[],TRUE,FALSE,2
10158098539056984.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10158110177066984.jpg,TRUE,TRUE,['SAD'],TRUE,TRUE,2
10158114223881984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158120063021984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158122521251984.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10158124188606984.jpg,TRUE,TRUE,['CALM'],FALSE,TRUE,1
10158128579896984.jpg,FALSE,TRUE,['SAD'],TRUE,FALSE,1
10158136808041984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10158138787221984.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10158140705481984.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10158142652566984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10158146946941984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158149039681984.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10158151100681984.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10158151370081984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10158153545576984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10158156293836984.jpg,FALSE,TRUE,['HAPPY'],FALSE,TRUE,1
10158156502541984.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10158158579891984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158160318881984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158162553931984.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
10158164399096984.jpg,TRUE,TRUE,['SAD'],TRUE,TRUE,2
10158164713411984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158166636866984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10158168549361984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,2
10158168973826984.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10158170971636984.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10158172671941984.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
