image_id,Text,close_up,Indoors,Outdoors
10157582426046984.jpg,False,False,False,False
10157593146051984.jpg,True,False,False,False
10157595551641984.jpg,False,False,False,Outdoors
10157605664951984.jpg,False,False,False,False
10157610915806984.jpg,False,False,False,False
10157612969296984.jpg,False,False,False,False
10157613406531984.jpg,False,False,False,False
10157616454131524.png,True,False,False,False
10157633576581984.jpg,False,False,False,False
10157635770606984.jpg,True,False,False,False
10157638593211984.jpg,True,False,False,Outdoors
10157646639246984.jpg,False,False,False,False
10157649025026984.jpg,False,False,False,False
10157657968891984.jpg,False,False,False,Outdoors
10157664958086984.jpg,False,False,False,False
10157665038656984.jpg,False,False,False,False
10157666614646984.jpg,True,False,False,False
10157667263231984.jpg,False,False,False,Outdoors
10157669479936984.jpg,False,False,False,False
10157671129736984.jpg,False,False,False,False
10157681361626984.jpg,False,False,False,False
10157700281941984.jpg,False,False,Indoors,False
10157702454521984.jpg,False,False,False,False
10157714164786984.jpg,False,False,False,False
10157718684346984.jpg,True,False,False,False
10157720588956984.jpg,False,False,False,Outdoors
10157746937801984.jpg,False,False,False,False
10157765582211984.jpg,False,False,False,False
10157767731876984.jpg,True,False,False,False
10157772148031984.jpg,True,False,False,False
10157777370871984.jpg,True,False,False,False
10157779811841984.jpg,True,False,False,False
10157786505891984.jpg,False,False,Indoors,False
10157788450911984.jpg,True,False,False,False
10157791395846984.jpg,True,False,False,False
10157794368366984.png,True,False,False,False
10157796244771984.jpg,False,False,False,False
10157804426201984.jpg,False,False,False,False
10157811748081984.png,True,False,False,False
10157816804506984.jpg,False,False,False,False
10157829890511984.jpg,False,False,False,False
10157831694206984.jpg,True,False,False,False
10157846619001984.png,True,False,False,False
10157847272166984.jpg,False,False,False,False
10157851133196984.png,True,False,False,False
10157869945026984.jpg,False,False,False,False
10157879633986984.jpg,True,False,False,False
10157880831126984.jpg,False,False,Indoors,False
10157881555536984.jpg,False,False,False,Outdoors
10157883265941984.jpg,False,False,False,False
10157886246051984.jpg,False,False,False,False
10157886450211984.jpg,False,False,False,False
10157891483426984.jpg,True,False,False,False
10157893080036984.jpg,True,False,False,False
10157893664081984.jpg,False,False,Indoors,False
10157895822866984.jpg,True,False,False,False
10157908591771984.jpg,False,False,Indoors,False
10157912528291984.jpg,False,False,False,False
10157926606171984.jpg,False,False,False,False
10157928814311984.jpg,True,False,False,False
10157930810451984.jpg,False,False,False,False
10157933400721984.jpg,False,False,False,False
10157940282396984.jpg,False,False,False,False
10157942570186984.jpg,True,False,False,False
10157946672601984.jpg,False,False,False,False
10157955334831984.jpg,True,False,False,False
10157956745381984.jpg,True,False,False,False
10157973789126984.jpg,False,False,False,False
10157987975881984.jpg,False,False,False,False
10157992415236984.jpg,False,False,Indoors,False
10158004669506984.jpg,False,False,False,Outdoors
10158008815831984.jpg,True,False,False,False
10158018738516984.jpg,False,False,False,False
10158029078241984.jpg,False,False,False,False
10158036931946984.jpg,True,False,False,False
10158045641571984.jpg,False,False,False,False
10158062380341984.jpg,False,False,False,False
10158074722286984.jpg,True,False,False,False
10158078816921984.jpg,False,False,False,False
10158080688696984.jpg,False,False,False,False
10158090159661984.jpg,False,False,False,False
10158091681831984.jpg,False,False,False,False
10158094543336984.jpg,False,False,False,False
10158098539056984.jpg,False,False,False,False
10158110177066984.jpg,False,False,False,False
10158114223881984.jpg,False,False,False,False
10158120063021984.jpg,True,False,False,False
10158122521251984.jpg,False,False,False,False
10158124188606984.jpg,False,False,False,False
10158128579896984.jpg,False,False,False,False
10158136808041984.jpg,True,False,False,False
10158138787221984.jpg,True,False,False,False
10158140705481984.jpg,False,False,False,False
10158142652566984.jpg,True,False,False,False
10158146946941984.jpg,True,False,False,Outdoors
10158149039681984.jpg,False,False,False,False
10158151100681984.jpg,False,False,False,False
10158151370081984.jpg,True,False,False,False
10158153545576984.jpg,True,False,False,False
10158156293836984.jpg,False,False,False,False
10158156502541984.jpg,True,False,False,False
10158158579891984.jpg,False,False,False,False
10158160318881984.jpg,False,False,False,False
10158162553931984.jpg,True,False,False,False
10158164399096984.jpg,False,False,False,False
10158164713411984.jpg,False,False,False,False
10158166636866984.jpg,False,False,False,Outdoors
10158168549361984.jpg,True,False,False,False
10158168973826984.jpg,True,False,False,False
10158170971636984.jpg,False,False,False,False
10158172671941984.jpg,True,False,False,False
10158172889971984.jpg,False,False,False,False
10158175056741984.jpg,True,False,False,False
10158177044086984.jpg,False,False,False,False
10158181267116984.jpg,False,False,False,False
10158183400821984.jpg,False,False,False,False
10158187858381984.jpg,True,False,False,False
10158192038961984.jpg,False,False,False,False
10158194297906984.jpg,False,False,False,Outdoors
10158198655996984.jpg,False,False,False,False
10158200264466984.jpg,False,False,False,Outdoors
10158200675081984.jpg,False,False,False,False
10158202486991984.jpg,True,False,False,False
10158208537181984.png,True,False,False,False
10158214713621984.jpg,False,False,False,False
10158216791801984.jpg,True,False,False,False
10158220782046984.png,True,False,False,False
10158224597226984.png,True,False,False,False
10158226588861984.jpg,True,False,False,False
10158228079316984.jpg,True,False,False,False
10158228301021984.jpg,False,False,False,Outdoors
10158228409196984.jpg,True,False,False,False
10158230506321984.jpg,True,False,False,False
10158230627811984.jpg,False,False,False,False
10158231449513462.jpg,False,False,False,False
10158234757911984.jpg,False,False,False,Outdoors
10158237045086984.jpg,False,False,False,False
10158239557106970.jpg,False,False,False,False
10158240429196984.jpg,True,False,False,False
10158242269256970.jpg,False,False,False,False
10158244398606984.jpg,False,False,False,False
10158244901276984.jpg,False,False,False,False
10158248113991970.jpg,False,False,False,False
10158252695181984.png,True,False,False,False
10158255068086984.jpg,False,False,False,False
10158258467666970.jpg,False,False,False,Outdoors
10158259895571984.jpg,False,False,False,False
10158261638986970.jpg,False,False,False,False
10158263688616970.jpg,False,False,False,False
10158275082616970.jpg,False,False,False,False
10158276875426984.jpg,False,False,Indoors,False
10158280759816984.jpg,False,False,False,False
10158282608086970.jpg,False,False,False,False
10158288107436970.jpg,False,False,False,False
10158291294581984.jpg,False,False,False,False
10158293773676984.jpg,False,False,False,False
10158293862146970.jpg,False,False,False,False
10158296796136970.jpg,False,False,False,False
10158299973756970.jpg,False,False,False,False
10158300075271984.png,True,False,False,False
10158301810551970.jpg,False,False,False,False
10158304675831984.png,False,False,False,False
10158305845051970.jpg,False,False,False,False
10158308846506984.jpg,False,False,False,False
10158315968446970.jpg,False,False,False,False
10158317570746984.jpg,False,False,False,False
10158318884041970.jpg,False,False,False,False
10158319585351984.jpg,False,False,False,False
10158319784726984.jpg,False,False,False,Outdoors
10158323801521970.jpg,False,False,False,False
10158334299651984.jpg,False,False,False,False
10158335782026970.jpg,False,False,False,False
10158336119356984.jpg,True,False,False,False
10158342395526984.jpg,False,False,False,Outdoors
10158346260106984.jpg,True,False,False,False
10158349927211970.jpg,False,False,False,False
10158350232511984.jpg,False,False,False,False
10158354495676970.jpg,False,False,False,False
10158357061306970.jpg,True,False,False,False
10158358182321984.jpg,False,False,False,False
10158358738806984.jpg,False,False,False,Outdoors
10158360931532819.jpg,False,False,False,False
10158362739821984.jpg,False,False,False,False
10158364672601984.jpg,False,False,False,False
10158364966006970.jpg,False,False,False,False
10158366504971984.jpg,False,False,False,False
10158367523641970.jpg,False,False,False,False
10158371953711970.jpg,True,False,False,False
10158374403981970.jpg,False,False,False,False
10158374762693798.jpg,False,False,False,False
10158376854491970.png,True,False,False,False
10158379134466984.png,True,False,False,False
10158379666768798.jpg,False,False,False,False
10158380949586984.jpg,False,False,Indoors,False
10158384460936984.jpg,False,False,False,Outdoors
10158385028866970.jpg,False,False,False,False
10158387971381970.jpg,True,False,False,False
10158389617066970.jpg,False,False,False,False
10158389652386970.jpg,False,False,False,False
10158390211658798.jpg,False,False,False,False
10158390414011984.jpg,False,False,False,Outdoors
10158393013033798.jpg,False,False,False,False
10158393799366970.jpg,False,False,False,False
10158395391183798.jpg,False,False,False,False
10158396027096984.jpg,False,False,False,Outdoors
10158397777416984.jpg,False,False,False,False
10158398612623798.jpg,False,False,False,False
10158401698821970.jpg,False,False,False,False
10158404699266970.jpg,True,False,False,False
101584096327287.jpg,False,False,False,False
10158411151386970.jpg,False,False,False,False
10158412146258798.jpg,False,False,False,False
10158415692103798.jpg,False,False,False,False
10158416927756970.jpg,True,False,False,False
10158417292453798.jpg,False,False,False,False
10158418289103798.jpg,False,False,False,False
10158420805123798.jpg,False,False,False,Outdoors
10158424294943798.jpg,False,False,Indoors,False
10158426156737556.jpg,False,False,Indoors,False
10158428381502556.jpg,True,False,False,False
10158428403761970.jpg,False,False,False,False
10158432341183798.jpg,False,False,False,False
10158433353511970.jpg,True,False,False,False
10158433796752556.jpg,True,False,False,False
10158434340387556.jpg,True,False,False,False
1015843628729255.jpg,False,False,False,False
1015843817600697.jpg,False,False,False,False
10158439046967556.jpg,False,False,False,False
10158440820843798.jpg,False,False,False,False
10158442071042556.jpg,False,False,False,False
