Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,LOGO,Followers at Posting,Total Interactions,Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
1,1,0,1,1,0,0,0,0,green,0,73017,127,HIGH,0,0,0,0,0,1,0,0
0,1,1,1,2,1,0,0,0,blue,0,73172,312,HIGH,0,0,0,0,0,1,0,0
0,1,1,1,2,0,0,0,1,grey,0,73226,77,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,0,0,purple,0,73363,332,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,grey,0,73404,71,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,2,0,0,0,0,white,0,73416,100,LOW,0,0,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,grey,0,73416,106,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,brown,0,73678,67,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,grey,0,73544,285,HIGH,1,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,grey,0,73578,119,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,1,cyan,0,73597,100,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,grey,0,73617,199,LOW,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,grey,0,73632,109,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,grey,0,73688,143,LOW,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,cyan,0,73720,134,HIGH,0,0,0,0,0,0,1,0
0,1,1,1,2,0,0,0,0,grey,0,73720,107,HIGH,0,1,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,grey,0,73742,163,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,grey,0,73742,210,LOW,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,blue,0,73762,118,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,blue,0,73777,80,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,brown,0,73852,110,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,1,0,cyan,0,73973,139,HIGH,0,1,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,grey,0,73989,135,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,blue,0,74035,114,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,green,0,74060,89,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,2,0,0,0,1,grey,0,74081,143,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,grey,0,73261,407,HIGH,0,0,1,0,0,1,0,0
0,1,1,1,2,0,0,0,0,grey,0,73431,102,HIGH,0,1,0,0,0,0,0,0
0,1,0,1,1,1,0,0,0,grey,0,73449,77,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,green,0,73490,120,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,blue,0,73536,91,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,blue,0,73552,50,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,0,grey,0,73595,77,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,blue,0,73629,152,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,green,0,73654,78,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,blue,0,73678,53,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,cyan,0,73699,122,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,grey,0,73749,146,HIGH,0,1,0,0,1,0,1,0
0,0,0,0,0,1,0,0,0,purple,0,73746,58,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,brown,0,73793,109,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,grey,0,73866,128,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,brown,0,73888,142,LOW,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,blue,0,73944,50,LOW,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,red,0,73944,318,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,blue,0,73976,56,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,cyan,0,74053,70,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,1,0,0,0,cyan,0,74096,103,HIGH,0,1,0,0,0,1,0,0
1,1,1,1,2,0,0,1,0,cyan,0,74113,91,HIGH,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,0,1,brown,0,74113,87,HIGH,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,cyan,0,74137,116,HIGH,0,1,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,cyan,0,74160,138,HIGH,0,1,0,0,0,1,0,0
0,1,1,1,2,0,0,0,0,grey,0,74160,108,HIGH,0,1,0,0,0,1,0,0
