Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,LOGO,Followers at Posting,Total Interactions,Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,10014,46,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,green,1,10022,31,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10019,34,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,TRUE,grey,1,10021,44,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,10032,58,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,grey,1,10032,36,HIGH,0,1,0,1,0,0,0,0
FALSE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,FALSE,brown,1,10032,54,HIGH,0,1,0,0,0,0,1,0
FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,cyan,1,10036,59,HIGH,0,1,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10050,38,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,grey,1,10052,45,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,cyan,1,10038,60,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10062,37,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,grey,1,10038,64,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,brown,1,10037,45,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,green,1,10054,34,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,10058,40,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,FALSE,grey,1,10062,45,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,grey,1,10073,39,HIGH,0,1,0,0,0,0,1,0
FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,brown,1,10073,55,HIGH,0,0,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10077,46,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,grey,1,10062,44,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10094,36,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,10101,35,HIGH,0,1,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,brown,1,10107,36,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10135,34,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,brown,1,10121,34,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10135,38,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10148,43,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10148,53,HIGH,0,0,0,0,0,1,0,0
FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,brown,1,10148,28,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,10158,35,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10172,28,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,brown,1,10160,42,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,brown,1,10170,32,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10172,47,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,grey,1,10172,44,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,brown,1,10172,38,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,grey,1,10169,50,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,brown,1,10203,28,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,10176,32,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,grey,1,10153,30,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10187,22,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10245,33,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,10193,25,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,FALSE,grey,1,10203,21,HIGH,0,1,0,0,1,1,0,0
